clave_paper,tema
2013-21,Econometría y Estadística
2013-21,Otros
2013-20,Economía Laboral
2013-19,Macroeconomía: Economía Monetaria
2013-19,Macroeconomía: Inflación
2013-18,Otros
2013-17,Economía pública
2013-16,Microeconomía: Competitividad
2013-16,Economía Laboral
2013-16,Economía pública
2013-15,Microeconomía: Competencia
2013-14,Microeconomía: Competencia
2013-14,Finanzas
2013-14,Econometría y Estadística
2013-13,Microeconomía: Competitividad
2013-13,Economía pública
2013-13,Otros
2013-12,Macroeconomía: Economía Monetaria
2013-12,Macroeconomía: Inflación
2013-12,Econometría y Estadística
2013-11,Economía Laboral
2013-11,Econometría y Estadística
2013-10,Economía Internacional
2013-09,Otros
2013-08,Macroeconomía: Crecimiento y Desarrollo
2013-08,Microeconomía: Competitividad
2013-08,Otros
2013-07,Finanzas
2013-07,Otros
2013-06,Microeconomía: Competencia
2013-05,Otros
2013-04,Otros
2013-03,Finanzas
2013-03,Econometría y Estadística
2013-03,Otros
2013-02,Macroeconomía: Economía Monetaria
2013-02,Macroeconomía: Inflación
2013-01,Finanzas
2013-01,Otros
2012-18,Econometría y Estadística
2012-17,Economía pública
2012-16,Economía Internacional
2012-16,Otros
2012-15,Economía pública
2012-15,Otros
2012-14,Macroeconomía: Crecimiento y Desarrollo
2012-14,Economía pública
2012-13,Macroeconomía: Crecimiento y Desarrollo
2012-13,Macroeconomía: Inflación
2012-12,Macroeconomía: Crecimiento y Desarrollo
2012-12,Economía pública
2012-12,Otros
2012-11,Macroeconomía: Crecimiento y Desarrollo
2012-11,Econometría y Estadística
2012-11,Otros
2012-10,Economía Laboral
2012-10,Economía pública
2012-09,Macroeconomía: Inflación
2012-09,Microeconomía: Competencia
2012-08,Economía Internacional
2012-08,Finanzas
2012-08,Econometría y Estadística
2012-08,Otros
2012-07,Finanzas
2012-07,Econometría y Estadística
2012-06,Macroeconomía: Inflación
2012-05,Economía Internacional
2012-04,Microeconomía: Competencia
2012-04,Economía pública
2012-03,Macroeconomía: Economía Monetaria
2012-03,Otros
