clave,anio,url,archivo,status,bytes,error
2023-02,2023,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{7344C5D1-E910-73E9-950D-14C9470334F4}.pdf,2023-02.pdf,ok,2834846,
2022-17,2022,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{A5D08446-3A02-F3E2-8D50-64289BE06A94}.pdf,2022-17.pdf,ok,1265331,
2022-15,2022,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{06F3DA8D-EE46-4BF5-EF7B-1E2E60F1CBEA}.pdf,2022-15.pdf,ok,1659097,
2021-21,2021,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{761B0E25-321A-1216-8467-C2982B404685}.pdf,2021-21.pdf,ok,527204,
2021-20,2021,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F7DAA9C4-61B3-18A7-1550-D392F2F3E7DE}.pdf,2021-20.pdf,ok,1193136,
2021-16,2021,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{C5D00321-B7F2-098D-4122-25BCE208995A}.pdf,2021-16.pdf,ok,1067788,
2021-07,2021,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{659B78B1-8C51-8CC4-BFB3-2AD1B3FE9E6B}.pdf,2021-07.pdf,ok,529271,
2021-05,2021,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{1A22D656-CAD6-B11A-6471-53160723B254}.pdf,2021-05.pdf,ok,666933,
2021-01,2021,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{3D8B16FD-A7BD-5C3F-A10B-AFC6D2CF45D7}.pdf,2021-01.pdf,ok,2743535,
2020-20,2020,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{16B8A455-70FF-8DE6-545F-46C3DD530723}.pdf,2020-20.pdf,ok,824038,
2020-16,2020,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{90BA99D6-1C06-DEB9-3CC6-20432B821CB9}.pdf,2020-16.pdf,ok,2707534,
2020-12,2020,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{516231E5-728A-C649-8178-2279E3B74BAE}.pdf,2020-12.pdf,ok,601732,
2020-10,2020,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{2A38F7B2-BAA0-917B-307A-18C50E59A719}.pdf,2020-10.pdf,ok,1084683,
2020-09,2020,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{3A87E896-2A89-269F-2A0F-FF673267AF75}.pdf,2020-09.pdf,ok,1499291,
2019-16,2019,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{5D98C80C-BEDC-5992-317A-E4CBA99DCB7A}.pdf,2019-16.pdf,ok,1118427,
2019-09,2019,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{808D529A-7396-9F03-7377-AA179737C5B8}.pdf,2019-09.pdf,ok,1520817,
2019-05,2019,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{23A1E4A0-8DCD-747C-1CFD-9E38DB0F3849}.pdf,2019-05.pdf,ok,784402,
2019-04,2019,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{94212180-BAB9-9A04-69F9-0003469205B6}.pdf,2019-04.pdf,ok,971051,
2018-26,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D8A3A0F0-A154-343C-AB85-BB461BC4B010}.pdf,2018-26.pdf,ok,1127012,
2018-22,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{DB137D03-30CE-8C9A-1BBD-52C4EEE3BE29}.pdf,2018-22.pdf,ok,1075514,
2018-21,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{76B320EC-AE79-2072-8CA6-6CAB169222BE}.pdf,2018-21.pdf,ok,1309836,
2018-20,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{E2FDE1BC-1B43-BFBF-042E-1C5F9810F5F9}.pdf,2018-20.pdf,ok,508118,
2018-19,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{69E6A77D-98DA-66E7-9947-A9B0D4B76D8D}.pdf,2018-19.pdf,ok,299417,
2018-18,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{FEEDEC34-FD3A-9F1A-17DF-A8E2D20EEFAE}.pdf,2018-18.pdf,ok,1932962,
2018-16,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{CBBEF710-BDC9-5CB6-1DEF-A3E974424A30}.pdf,2018-16.pdf,ok,1096214,
2018-13,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{1C45498C-23CE-9517-584D-9024138A0F7A}.pdf,2018-13.pdf,ok,647380,
2018-09,2018,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{71E3014D-BBD5-DB53-2703-26568F30C4DD}.pdf,2018-09.pdf,ok,585890,
2017-22,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{DB15D88C-7E36-E859-1FD4-A1D8839FA8AD}.pdf,2017-22.pdf,ok,3062552,
2017-21,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{ABFCD6C7-018B-50A1-E90B-20ABB48AE9EA}.pdf,2017-21.pdf,ok,817174,
2017-20,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D7DD0B4B-7BBD-95AA-A33A-FD04073FD461}.pdf,2017-20.pdf,ok,1096672,
2017-17,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{AB436397-D17E-8D2B-D047-60AD3CC13AB8}.pdf,2017-17.pdf,ok,865011,
